Id;Designator;Package;Quantity;Designation;Supplier and ref
1;ISP1;Pin_Header_Straight_2x03;1;ISP header;x
2;D1;Diode_DO-41_SOD81_Horizontal_RM10;1;1N4001;x
3;Y1;HC-49V;1;20 MHz;x
4;REF**,REF**,REF**,REF**,REF**,REF**;1pin;6;1pin;-
5;R8,R36,R43;Resistor_Vertical_RM2.5mm;3;R_Small;x
6;R1;Resistor_Vertical_RM2.5mm;1;4.7k;x
7;U4;DIP-16_W7.62mm;1;AM26LS31;x
8;U3;TO-220_Neutral123_Vertical;1;7805-pinmod;x
9;U2,U1;DIP-8_W7.62mm;2;6N138;x
10;R42,R41,R40,R39,R38,R37,R35,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R16,R15,R14,R13,R12;Resistor_Horizontal_RM10mm;30;R_Small;x
11;R11,R10,R9;Resistor_Horizontal_RM10mm;3;10k;x
12;R5,R4,R3;Resistor_Horizontal_RM10mm;3;5.1k;x
13;R2;Resistor_Horizontal_RM10mm;1;4.7k;x
14;PWRBUS1;Pin_Header_Angled_1x03;1;CONN_01X03;x
15;PWR1;JACK_ALIM;1;CONN_01X02;x
16;PD1,PC1,PB1,PA1;Pin_Header_Straight_2x05;4;CONN_01X10;x
17;P3;Pin_Header_Straight_2x03;1;CONN_02X03;x
18;P2,P1;Pin_Header_Straight_2x05;2;CONN_COMM;x
19;IC1;DIP-40_W15.24mm;1;ATMEGA324A-P;x
20;I2C2,I2C1;Pin_Header_Straight_2x03;2;I2C header;x
21;DBL_TRACK1,1TRACK1,0TRACK1;DB9FD;3;CONN_01X09;x
22;D2;LED-3MM;1;Led_Small;x
23;C8,C4,C3,C2;C_Rect_L7_W2.5_P5;4;100n;x
24;C7,C6;C_Rect_L7_W2.5_P5;2;22p;x
25;C5;C_Radial_D5_L11_P2.5;1;10u;x
26;C1;C_Radial_D10_L20_P2.5;1;47u;x
